Actors,Awards,BoxOffice,Country,DVD,Director,Episode,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Season,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,seriesID,totalSeasons
"Paul Newman, Julie Andrews, Lila Kedrova, Hansjörg Felmy",2 nominations.,N/A,USA,06 Mar 2001,Alfred Hitchcock,,Thriller,"English, German, Swedish, Norwegian",55,An American scientist publicly defects to East Germany as part of a cloak and dagger mission to find the solution for a formula resin before planning an escape back to the West.,https://m.media-amazon.com/images/M/MV5BNTYwODI4NjcwOV5BMl5BanBnXkFtZTgwMzU0OTk5MTE@._V1_SX300.jpg,MCA Universal Home Video,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",27 Jul 1966,True,128 min,,Torn Curtain,movie,N/A,Brian Moore,1966,tt0061107,6.7,"22,055",,
"Dave Chappelle, Erykah Badu, Isaac ben Ayala, Yasiin Bey",3 wins & 4 nominations.,"$11,700,000",USA,13 Jun 2006,Michel Gondry,,"Documentary, Comedy, Music",English,84,"A mix of Dave Chappelle's sketch comedy and musical interludes, inspired in part by the 1973 documentary Wattstax.",https://m.media-amazon.com/images/M/MV5BMTI5ODAyNDM3OV5BMl5BanBnXkFtZTcwMjQ3NTIzMQ@@._V1_SX300.jpg,Rogue Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",03 Mar 2006,True,103 min,,Dave Chappelle's Block Party,movie,http://www.chappellesblockparty.com/,Dave Chappelle,2005,tt0425598,7.2,"8,413",,
"Kodi Smit-McPhee, Caren Pistorius, Aorere Paki, Jeffrey Thomas",6 wins & 18 nominations.,N/A,"UK, New Zealand",07 Jul 2015,John Maclean,,"Adventure, Western","English, French",72,"A young Scottish man travels across America in pursuit of the woman he loves, attracting the attention of an outlaw who is willing to serve as a guide.",https://m.media-amazon.com/images/M/MV5BNTYxNDA5ODk5NF5BMl5BanBnXkFtZTgwNzMwMzIwNTE@._V1_SX300.jpg,A24 and DIRECTV,R,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",16 Apr 2015,True,84 min,,Slow West,movie,http://a24films.com/films/slow-west/,John Maclean,2015,tt3205376,6.9,"37,794",,
"Sheila E., Joseph Simmons, Darryl McDaniels, Jason Mizell",1 nomination.,N/A,USA,14 Jan 2003,Michael Schultz,,"Comedy, Drama, Music",English,37,"In this movie based on the early days of Def Jam Recordings, up-and-coming manager Russell Walker manages all the hottest acts on the record label Krush Groove Records, which include ...",https://m.media-amazon.com/images/M/MV5BM2U4ZmNhMjEtZDhhYi00MmY5LWEyYzItYmM0NTZiNTIwZDY2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Warner Home Video,R,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",25 Oct 1985,True,97 min,,Krush Groove,movie,N/A,Ralph Farquhar,1985,tt0089444,6.5,"2,603",,
"Donald Faison, Mike Epps, Wood Harris, Omari Hardwick",N/A,"$10,017,041",USA,15 Sep 2009,Benny Boom,,"Action, Comedy, Crime","English, French",46,"Two inept criminals are mistakenly delivered a package of cocaine and think they've hit the jackpot, triggering a series of events that changes ten people's lives forever.",https://m.media-amazon.com/images/M/MV5BNmFjMTVjZGItMzc3Yy00ZGFhLWIxYmMtMmI1YTEyMjY1ZDQ1XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,Summit Entertainment,R,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",08 May 2009,True,84 min,,Next Day Air,movie,http://www.nextdayair-movie.com/,Blair Cobbs,2009,tt1097013,5.8,"9,846",,
"Burt Lancaster, Jean Simmons, Arthur Kennedy, Dean Jagger",Won 3 Oscars. Another 8 wins & 12 nominations.,N/A,USA,23 Sep 2014,Richard Brooks,,Drama,English,N/A,"A fast-talking traveling salesman with a charming, loquacious manner convinces a sincere evangelist that he can be an effective preacher for her cause.",https://m.media-amazon.com/images/M/MV5BMjI3NjIzMDA4NV5BMl5BanBnXkFtZTcwMzg4NTczNA@@._V1_SX300.jpg,MGM Home Entertainment,Approved,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}]",01 Jul 1960,True,146 min,,Elmer Gantry,movie,N/A,"Richard Brooks (screenplay), Sinclair Lewis (from the novel by)",1960,tt0053793,7.8,"9,138",,
"Spencer Tracy, Burt Lancaster, Richard Widmark, Marlene Dietrich",Won 2 Oscars. Another 14 wins & 25 nominations.,N/A,USA,07 Sep 2004,Stanley Kramer,,"Drama, War","English, German",60,"In 1948, an American court in occupied Germany tries four Nazi judges for war crimes.",https://m.media-amazon.com/images/M/MV5BZDZjMTIwZTQtNTM3OS00OTUyLWI5MTMtOTNjYWVkNzhjMWIxXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg,United Artists,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",18 Dec 1961,True,186 min,,Judgment at Nuremberg,movie,N/A,"Abby Mann, Abby Mann (based on his original story by)",1961,tt0055031,8.2,"60,748",,
"Deon Richmond, Donald Faison, Guy Torry, Maia Campbell",N/A,N/A,USA,01 Feb 2005,David Raynr,,Comedy,English,N/A,"Greg is near the end of his senior year in high school, wanting to go to the prom, eyeing Cinny (the school's beauty with brains) from afar, and regularly trippin', daydreaming about being ...",https://m.media-amazon.com/images/M/MV5BMTIwNTEzNDI3Ml5BMl5BanBnXkFtZTcwNjM4NjcyMQ@@._V1_SX300.jpg,USA Home Entertainment,R,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}]",12 May 1999,True,94 min,,Trippin',movie,N/A,Gary Hardwick,1999,tt0160298,5.3,"1,103",,
"Seth Green, Matthew Senreich, Breckin Meyer",Won 4 Primetime Emmys. Another 3 wins & 26 nominations.,,USA,,N/A,,"Animation, Action, Comedy, Drama, Sci-Fi, Thriller",English,N/A,Pop culture references fly thick and fast as stop-motion animation is featured in sketches lampooning everything from television movies to comic books.,https://m.media-amazon.com/images/M/MV5BYzcyMjQzYjQtNTU2My00ZjQ1LWI4NGEtODVjM2UwYjU5NDAzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,,TV-MA,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",20 Feb 2005,True,11 min,,Robot Chicken,series,,"Matthew Senreich, Seth Green, Mike Fasolo",2001–,tt0437745,7.8,"37,009",,9
"John Wayne, Montgomery Clift, Joanne Dru, Walter Brennan",Nominated for 2 Oscars. Another 2 wins & 2 nominations.,N/A,USA,15 May 2001,"Howard Hawks, Arthur Rosson(co-director)",,"Action, Adventure, Romance, Western","English, Spanish",N/A,"Dunson leads a cattle drive, the culmination of over 14 years of work, to its destination in Missouri. But his tyrannical behavior along the way causes a mutiny, led by his adopted son.",https://m.media-amazon.com/images/M/MV5BNzNiOGJhMDUtZjNjMC00YmE5LTk3NjQtNGM4ZjAzOGJjZmRlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,MGM Home Entertainment,Passed,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",17 Sep 1948,True,133 min,,Red River,movie,N/A,"Borden Chase (screenplay), Charles Schnee (screenplay), Borden Chase (from ""The Saturday Evening Post"" story)",1948,tt0040724,7.8,"25,148",,
"Mo'Nique, Jimmy Jean-Louis, Godfrey, Kendra C. Johnson",N/A,"$6,922,865",USA,22 Aug 2006,Nnegest Likké,,Comedy,English,36,Two plus-sized ladies meet the men of their dreams in the most unexpected of ways.,https://m.media-amazon.com/images/M/MV5BNDIyNzU2NTkwM15BMl5BanBnXkFtZTcwNDYyMDMzMQ@@._V1_SX300.jpg,Fox Searchlight,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '3.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",07 Apr 2006,True,99 min,,Phat Girlz,movie,http://www.phatgirlzmovie.com,Nnegest Likké,2006,tt0490196,3.1,"8,510",,
"Ethan Hawke, Julie Delpy, Seamus Davey-Fitzpatrick, Jennifer Prior",Nominated for 1 Oscar. Another 21 wins & 59 nominations.,"$8,114,507","USA, Greece",22 Oct 2013,Richard Linklater,,"Drama, Romance","English, Greek, French",94,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,https://m.media-amazon.com/images/M/MV5BMjA5NzgxODE2NF5BMl5BanBnXkFtZTcwNTI1NTI0OQ@@._V1_SX300.jpg,Drafthouse Recommends,R,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '94/100'}]",14 Jun 2013,True,109 min,,Before Midnight,movie,http://sonyclassics.com/beforemidnight/,"Richard Linklater, Julie Delpy, Ethan Hawke, Richard Linklater (characters), Kim Krizan (characters)",2013,tt2209418,7.9,"121,205",,
"Jason Bateman, Kim Darby, John Astin, Paul Sand",N/A,N/A,USA,N/A,Christopher Leitch,,"Comedy, Fantasy",English,8,"Todd Howard is a struggling teenager. Nothing seems to be going very well for him, until he turns into a wolf.",https://m.media-amazon.com/images/M/MV5BZWQxNGRhYjctNGI3Yi00NjQ5LTk0MWYtNTNkODZhYmEyZTdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Paramount Home Video,PG,"[{'Source': 'Internet Movie Database', 'Value': '3.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '7%'}, {'Source': 'Metacritic', 'Value': '8/100'}]",20 Nov 1987,True,95 min,,Teen Wolf Too,movie,N/A,"Jeph Loeb (characters), Matthew Weisman (characters), Jeph Loeb (story), Matthew Weisman (story), Tim Kring (screenplay)",1987,tt0094118,3.3,"9,477",,
"James Le Gros, Reggie Bannister, Angus Scrimm, Paula Irvine",2 nominations.,N/A,USA,15 Sep 2009,Don Coscarelli,,"Action, Fantasy, Horror, Sci-Fi, Thriller",English,42,"Mike, now released from a psychiatric hospital, continues his journey to stop the evil Tall Man from his grim work.",https://m.media-amazon.com/images/M/MV5BYTU0ZmFjN2YtMjA2YS00OWQ1LTgyOWMtMGI4MzZmMzQ4MGZmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,MCA Universal Home Video,R,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",08 Jul 1988,True,97 min,,Phantasm II,movie,N/A,Don Coscarelli,1988,tt0095863,6.5,"11,843",,
"Kimberly Elise, Loretta Devine, Debbi Morgan, Michael Boatman",6 wins & 7 nominations.,"$6,804,016",USA,08 Mar 2005,Michael Schultz,,Drama,English,55,"An adaptation of Bishop T.D. Jakes' self-help novel, chronciling a woman's struggle to come to terms with her legacy of abuse, addiction and poverty.",https://m.media-amazon.com/images/M/MV5BMTA3MTk4NjQ0MjReQTJeQWpwZ15BbWU2MDQyMzc3Ng@@._V1_SX300.jpg,Magnolia Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",22 Oct 2004,True,94 min,,Woman Thou Art Loosed,movie,http://www.womanthouartloosedthemovie.com/,"T.D. Jakes (novel), Stan Foster (screenplay), Christine Swanson (revised screenplay)",2004,tt0399901,6.8,851,,
"America Ferrera, Lupe Ontiveros, Ingrid Oliu, George Lopez",7 wins & 4 nominations.,"$5,677,043",USA,22 Apr 2003,Patricia Cardoso,,"Comedy, Drama","English, Spanish",71,"This is the story of Ana, a first generation Mexican-American teenager on the verge of becoming a woman. She lives in the predominately Latino community of East Los Angeles. Freshly ...",https://m.media-amazon.com/images/M/MV5BYTNlNzAxMjktZmViZi00ZmU4LWJjNTYtMzhlZmQzY2FhYzgxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,HBO Films,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",08 Nov 2002,True,90 min,,Real Women Have Curves,movie,http://www.realwomenhavecurves.com,"Josefina Lopez (play), George LaVoo (teleplay), Josefina Lopez (teleplay)",2002,tt0296166,6.9,"6,600",,
"Sam Worthington, Hugh Dancy, Joel Jackson, Charles Dance",4 wins & 10 nominations.,,Australia,,N/A,,"Drama, War",English,N/A,"Three journalists, Charles Bean, Ellis Ashmead Bartlett and Phillip Schuler, arrive at Gallipoli with the invading British and Allied troops in 1915. They will report the war but are ...",https://m.media-amazon.com/images/M/MV5BMTY1NjQ5MzMzNl5BMl5BanBnXkFtZTgwNDQ4MzI4NTE@._V1_SX300.jpg,,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",19 Apr 2015,True,197 min,,Deadline Gallipoli,series,,N/A,2015,tt3458030,7.4,590,,1
"Sarala Kariyawasam, Buddhi Wickrama, Rinsly Weerarathne, Iranganie Serasinghe",Nominated for 1 Oscar. Another 17 wins & 14 nominations.,"$3,113,922","Canada, India",29 Aug 2006,Deepa Mehta,,"Drama, Romance","Hindi, Sanskrit",77,"A thesis picture. In 1938, Gandhi's party is making inroads in women's rights. Chuyia, a child already married but living with her parents, becomes a widow. By tradition, she is ...",https://m.media-amazon.com/images/M/MV5BZmQ4ODNjNjctYzkxYS00N2MzLWE0ZTctOGVkYzM2NjRmZDMyXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,Fox Searchlight Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",26 May 2006,True,117 min,,Water,movie,http://www2.foxsearchlight.com/water/,"Anurag Kashyap (dialogue), Deepa Mehta",2005,tt0240200,7.8,"13,584",,
"Om Puri, Linda Bassett, Jordan Routledge, Archie Panjabi",Nominated for 4 BAFTA Film Awards. Another 16 wins & 10 nominations.,N/A,UK,12 Sep 2000,Damien O'Donnell,,"Comedy, Drama","English, Urdu",74,"In early 1970s England, a Pakistani father finds the authority he has previously maintained challenged by his increasingly Anglicized children.",https://m.media-amazon.com/images/M/MV5BMjdmYzk1OGEtZjRmNC00MDEwLTkzOTgtNjgwOTUxZGU4MTQ1XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,Miramax Films,R,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",02 Jun 2000,True,96 min,,East Is East,movie,N/A,"Ayub Khan-Din (play), Ayub Khan-Din (screenplay)",1999,tt0166175,6.9,"15,855",,
"Amanda Peet, Brian Van Holt, Jonathan Abrahams, Zorie Barber",1 nomination.,"$3,780,907",USA,06 Feb 2001,Peter M. Cohen,,"Comedy, Romance","English, Italian",10,"Three egotistical swingers, who think they're God's gift to women, end up having their friendships tested when all three of them pick up and start dating the same woman.",https://images-na.ssl-images-amazon.com/images/M/MV5BMDNiMjFmZTQtMmQzNi00NGY4LWEyYmYtMzA0MDA4MWJkYTk3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Destination Films,R,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}, {'Source': 'Metacritic', 'Value': '10/100'}]",01 Sep 2000,True,82 min,,Whipped,movie,http://www.whipped.com,Peter M. Cohen,2000,tt0174336,4.4,"3,727",,
"Indira Varma, Sarita Choudhury, Ramon Tikaram, Naveen Andrews",1 win & 1 nomination.,N/A,"USA, India, UK, Japan, Germany",26 May 1998,Mira Nair,,"Crime, Drama, History, Romance","English, Italian",N/A,Two female friends become sexual rivals at maturity.,https://m.media-amazon.com/images/M/MV5BNDY5Njc3OWMtYjQwNS00YzM0LTgxZTItNjVjZDk3MWQxYjEzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,Trimark,R,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}]",28 Feb 1997,True,114 min,,Kama Sutra: A Tale of Love,movie,N/A,"Helena Kriel, Mira Nair, Wajida Tabassum (story ""Hand Me Downs"")",1996,tt0116743,6.0,"9,275",,
"Rebecca Hall, Elizabeth Keener, Elise Ivy, Catherine Keener",5 wins & 17 nominations.,"$4,033,268",USA,19 Oct 2010,Nicole Holofcener,,"Comedy, Drama",English,78,"In New York City, a husband and wife butt heads with the granddaughters of the elderly woman who lives in the apartment the couple owns.",https://m.media-amazon.com/images/M/MV5BNTczOTAxOTMyM15BMl5BanBnXkFtZTcwMTgyNTIyMw@@._V1_SX300.jpg,Sony Pictures Classics,R,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",18 Jun 2010,True,87 min,,Please Give,movie,http://www.sonyclassics.com/pleasegive/,Nicole Holofcener,2010,tt0878835,6.6,"10,579",,
"Gene Wilder, Jack Albertson, Peter Ostrum, Roy Kinnear",Nominated for 1 Oscar. Another 2 wins & 2 nominations.,"$4,000,000",USA,28 Aug 2001,Mel Stuart,,"Family, Fantasy, Musical","English, French, German, Italian",67,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.,https://m.media-amazon.com/images/M/MV5BZTllNDU0ZTItYTYxMC00OTI4LThlNDAtZjNiNzdhMWZiYjNmXkEyXkFqcGdeQXVyNzY1NDgwNjQ@._V1_SX300.jpg,Paramount Pictures,G,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",30 Jun 1971,True,100 min,,Willy Wonka & the Chocolate Factory,movie,N/A,"Roald Dahl (screenplay), Roald Dahl (book)",1971,tt0067992,7.8,"158,781",,
"Julian Sands, Chris Young, Paula Marshall, Joanna Pacula",2 nominations.,N/A,USA,12 Sep 2000,Anthony Hickox,,"Action, Fantasy, Horror, Thriller",English,N/A,An order of Druids train their children to battle an evil Warlock determined to unleash Satan upon the world by bringing a collection of five mystic rune stones together.,https://m.media-amazon.com/images/M/MV5BMzUyZTNiMDctMzg2Ny00MWE4LWFmNjctOTQ3YTIwNjRmYzU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Republic Pictures Home Video,R,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",24 Sep 1993,True,98 min,,Warlock: The Armageddon,movie,N/A,"David Twohy (characters), Kevin Rock (story), Kevin Rock (screenplay), Sam Bernard (screenplay)",1993,tt0108517,5.4,"4,782",,
"Joe Pesci, Andy Comeau, Kristy Swanson, George Hamilton",1 win.,N/A,"USA, UK",08 Oct 2002,Tom Schulman,,"Adventure, Comedy, Crime, Mystery","English, Spanish",15,"A mob bagman finds that his luggage, containing the proof of his gang's latest hit, has been switched.",https://m.media-amazon.com/images/M/MV5BMWQyOTZhYmUtZTE3NC00MTg5LWE3YzAtNjI0YmFlOWYwZGM1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Orion Home Video,R,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '15/100'}]",18 Apr 1997,True,95 min,,8 Heads in a Duffel Bag,movie,N/A,Tom Schulman,1997,tt0118541,5.3,"8,919",,
"Richard Gere, Brooke Adams, Sam Shepard, Linda Manz",Won 1 Oscar. Another 12 wins & 12 nominations.,N/A,USA,30 Mar 1999,Terrence Malick,,"Drama, Romance","English, Italian",93,A hot-tempered farm laborer convinces the woman he loves to marry their rich but dying boss so that they can have a claim to his fortune.,https://m.media-amazon.com/images/M/MV5BZDNmODcxMTQtNDcwYy00NTQxLTkwOTMtN2Y2MzRhNzFiZmZiL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Paramount Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '93/100'}]",06 Oct 1978,True,94 min,,Days of Heaven,movie,N/A,Terrence Malick,1978,tt0077405,7.9,"45,156",,
"Matthew McConaughey, David Connolly, Joseph Siravo, A.D. Miles",8 wins & 7 nominations.,"$3,004,491",USA,19 Nov 2002,Jill Sprecher,,Drama,"English, German, Italian",74,"In New York City, the lives of a lawyer, an actuary, a house-cleaner, a professor and the people around them intersect as they ponder order and happiness in the face of life's cold unpredictability.",https://m.media-amazon.com/images/M/MV5BYThiMzQyYzUtNTQ4YS00ODNhLTk1N2EtOWFhZGM0NDFmMDE4XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,Sony Pictures Classics,R,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",05 Jul 2002,True,104 min,,Thirteen Conversations About One Thing,movie,http://www.sonyclassics.com/13conversations,"Karen Sprecher, Jill Sprecher",2001,tt0268690,7.1,"9,155",,
"Rose McGowan, Rebecca Gayheart, Julie Benz, Judy Greer",1 nomination.,N/A,USA,22 May 2001,Darren Stein,,"Comedy, Crime, Thriller",English,22,Three of the most popular girls at Reagan High accidentally kill the prom queen with a jawbreaker when a kidnapping goes horribly wrong.,https://m.media-amazon.com/images/M/MV5BOTcwZWZkZWUtZjRhMi00ZDNhLTljOWItNjBkNzIwYTA0YWQyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Columbia TriStar,R,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '8%'}, {'Source': 'Metacritic', 'Value': '22/100'}]",19 Feb 1999,True,87 min,,Jawbreaker,movie,N/A,Darren Stein,1999,tt0155776,5.5,"21,916",,
"Jeffrey Wright, Michael Wincott, Benicio Del Toro, Claire Forlani",2 wins & 3 nominations.,N/A,USA,11 Oct 2005,Julian Schnabel,,"Biography, Drama","English, Spanish",65,"The brief life of Jean Michel Basquiat, a world renowned New York street artist struggling with fame, drugs and his identity.",https://m.media-amazon.com/images/M/MV5BMTk3NTk3MzU5N15BMl5BanBnXkFtZTgwNjIwMDcyMTI@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Metacritic', 'Value': '65/100'}]",09 Aug 1996,True,107 min,,Basquiat,movie,N/A,"Lech Majewski (story), John Bowe (short story), Julian Schnabel, Michael Holman (story development)",1996,tt0115632,6.9,"18,097",,
"Greta Gerwig, Mickey Sumner, Michael Esper, Adam Driver",Nominated for 1 Golden Globe. Another 1 win & 47 nominations.,"$3,900,000","USA, Brazil",12 Nov 2013,Noah Baumbach,,"Comedy, Drama, Romance",English,82,"A New York woman (who doesn't really have an apartment) apprentices for a dance company (though she's not really a dancer) and throws herself headlong into her dreams, even as the possibility of realizing them dwindles.",https://m.media-amazon.com/images/M/MV5BOTY0NDQ2NzQ2N15BMl5BanBnXkFtZTcwMTU0OTkwOQ@@._V1_SX300.jpg,IFC Films,R,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",23 Aug 2013,True,86 min,,Frances Ha,movie,http://www.ifcfilms.com/films/frances-ha,"Noah Baumbach, Greta Gerwig",2012,tt2347569,7.4,"59,349",,
"Presley Chweneyagae, Terry Pheto, Kenneth Nkosi, Mothusi Magano",Won 1 Oscar. Another 16 wins & 13 nominations.,"$2,753,840","UK, South Africa",18 Jul 2006,Gavin Hood,,"Crime, Drama","Zulu, Xhosa, Afrikaans, English",70,Six days in the violent life of a young Johannesburg gang leader.,https://m.media-amazon.com/images/M/MV5BYjEzZjhkZDMtZDk0ZS00YWNlLWE3MmMtNzgxN2NjYWFhZTExXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,Miramax,R,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",31 Mar 2006,True,94 min,,Tsotsi,movie,http://www.tsotsi.com/,"Gavin Hood, Athol Fugard (novel)",2005,tt0468565,7.3,"26,625",,
"Jane Adams, Jon Lovitz, Philip Seymour Hoffman, Dylan Baker",Nominated for 1 Golden Globe. Another 12 wins & 25 nominations.,N/A,USA,27 Apr 1999,Todd Solondz,,"Comedy, Drama","English, Russian",81,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection.",https://m.media-amazon.com/images/M/MV5BM2FlNzE0ZmUtMmVkZS00MWQ3LWE4OWQtYjQwZjdhNzRmNWE2XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,Trimark Pictures,Unrated,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",16 Oct 1998,True,134 min,,Happiness,movie,N/A,Todd Solondz,1998,tt0147612,7.8,"62,101",,
"Eddie Griffin, Joe Howard, Matthew Brent, Robert Noble",N/A,"$2,152,090",USA,09 Sep 2003,George Gallo,,"Comedy, Documentary",English,51,"Documentary on comedian Eddie Griffin who heads back home to a family reunion, which includes two uncles - one a porn director and the other an ex-pimp.",https://m.media-amazon.com/images/M/MV5BMjEzMzA3NDA3NV5BMl5BanBnXkFtZTYwNjIzNTk5._V1_SX300.jpg,Miramax Films,R,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",04 Apr 2003,True,89 min,,DysFunktional Family,movie,http://www.miramax.com/dysfunktional_family/index.html,Eddie Griffin (head writer),2003,tt0337996,6.6,811,,
