,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
3915,,,,,,,,,,,,,,,Zena Grey,,evil|killer|murder|psychopath|serial killer,,,,,,,,,,,
3916,,,,,,,,,,,,,,,Fernando Cayo,,dead children|ghost|missing child|orphan|orphanage,,,,,,,,,,,
3917,,,,,,,,,,,,,,,Gabriel Iglesias,,bare breasts|parody|sexual innuendo|slip and fall|squirting orgasm,,,,,,,,,,,
3918,,,,,,,,,,,,,,,Clifton Collins Jr.,,bisexual|college|drug dealer|drugs|student,,,,,,,,,,,
3919,,,,,,,,,,,,,,,Philippe Noiret,,1960s|agent|cuba|intelligence|spy,,,,,,,,,,,
3920,,,,,,,,,,,,,,,Amy Hill,,illinois|judge|male full back nudity|revenge|wine tasting,,,,,,,,,,,
3921,,,,,,,,,,,,,,,Lili Taylor,,bellhop|coven|gangster|hotel|new year's eve,,,,,,,,,,,
3922,,,,,,,,,,,,,,,Lesley Ann Warren,,bdsm|employer employee relationship|hospital|mental hospital|secretary,,,,,,,,,,,
3923,,,,,,,,,,,,,,,Benjamin Fletcher,,cancun mexico|mexico|spring break|vacation|wisconsin,,,,,,,,,,,
3924,,,,,,,,,,,,,,,Bill Johnson,,listener|neo nazi|radio|radio station|radio talk show,,,,,,,,,,,
3925,,,,,,,,,,,,,,,Larry Miller,,amateur theater|dentist|missouri|small town|travel agent,,,,,,,,,,,
3926,,,,,,,,,,,,,,,Bridgette Wilson-Sampras,,black comedy|marriage|marriage proposal|not taking no for an answer|obsessive woman,,,,,,,,,,,
3927,,,,,,,,,,,,,,,Jayne Eastwood,,alcoholic|buffalo new york|claim in title|embalming|mortuary,,,,,,,,,,,
3928,,,,,,,,,,,,,,,Nancy O'Dell,,attention deficit disorder|debate|drugs|psychologist|school,,,,,,,,,,,
3929,,,,,,,,,,,,,,,Stephen Root,,atf agent|ball gag|cult leader|pastor|pretending to be dead,,,,,,,,,,,
3930,,,,,,,,,,,,,,,Rob Brydon,,circus|dark fantasy|dream|dream world|fantasy world,,,,,,,,,,,
3931,,,,,,,,,,,,,,,Puti Sri Candra Dewi,,hall of mirrors|mont saint michel france|palace of versailles|turkey the country|yellowstone national park,,,,,,,,,,,
3932,,,,,,,,,,,,,,,Richard Lynch,,bare breasts|comic relief|dragon|gladiator|harem,,,,,,,,,,,
3933,,,,,,,,,,,,,,,Rita Wilson,,art teacher|artist|high school|homework|principal,,,,,,,,,,,
3934,,,,,,,,,,,,,,,Elena Satine,,escort|f word|no opening credits|one word title|prosecutor,,,,,,,,,,,
3935,,,,,,,,,,,,,,,Ernie Reyes Jr.,,beating|hustler|jail|money|revenge,,,,,,,,,,,
3936,,,,,,,,,,,,,,,Julian Sands,,1950s|italian|murder|tunisia|vomiting,,,,,,,,,,,
3937,,,,,,,,,,,,,,,Denis Lavant,,boudoir|death|insanity|male full frontal nudity|penis,,,,,,,,,,,
3938,,,,,,,,,,,,,,,Ronnie Gene Blevins,,alcoholic|cigarette smoking|father son relationship|teenage boy|woods,,,,,,,,,,,
3939,,,,,,,,,,,,,,,Ralph Ineson,,con artist|money|orphan|scam|secretary,,,,,,,,,,,
3940,,,,,,,,,,,,,,,Hal Landon Jr.,,electric chair|haunting|prison|prisoner|revenge,,,,,,,,,,,
3941,,,,,,,,,,,,,,,Beth Broderick,,cliche|exchange student|slasher|spoof|surfing,,,,,,,,,,,
3942,,,,,,,,,,,,,,,Mary McCormack,,competition|fake documentary|hairdresser|nudity|reference to liberace,,,,,,,,,,,
3943,,,,,,,,,,,,,,,Arcelia Ramírez,,,,,,,,,,,,,
3944,,,,,,,,,,,,,,,Zoe Levin,,counselor|fbi|revenge motive|school|teenage girl,,,,,,,,,,,
3945,,,,,,,,,,,,,,,Pauline McLynn,,alopecia|belfast northern ireland|ireland|irish republican army|scalper,,,,,,,,,,,
3946,,,,,,,,,,,,,,,Rob Jarvis,,australian|female armpit hair|friend|sheffield|yorkshire,,,,,,,,,,,
3947,,,,,,,,,,,,,,,Ben Mendelsohn,,beach|friend|friendship|happiness|neighbor,,,,,,,,,,,
3948,,,,,,,,,,,,,,,Olivia d'Abo,,dying|hospital|parenthesis in title|punctuation in title|tears,,,,,,,,,,,
3949,,,,,,,,,,,,,,,Aida Folch,,australia|bar|shipyard|siamese twins|tuna,,,,,,,,,,,
3950,,,,,,,,,,,,,,,Nick Damici,,canada|post apocalypse|road movie|vampire|vampire hunter,,,,,,,,,,,
3951,,,,,,,,,,,,,,,Brandon Mychal Smith,,cafeteria|female protagonist|rival|teenage girl|teenager,,,,,,,,,,,
3952,,,,,,,,,,,,,,,Gretchen Mol,,1940s|female bare foot|picket fence|tire|vomiting,,,,,,,,,,,
3953,,,,,,,,,,,,,,,Jesuíta Barbosa,,gay|male frontal nudity|male nudity|male rear nudity|nudity,,,,,,,,,,,
3954,,,,,,,,,,,,,,,Demi Moore,,countryside|marriage|maryland|usa|wedding,,,,,,,,,,,
3955,,,,,,,,,,,,,,,Sean Harris,,kidnapper|mountaineering|scotland|scottish highlands|sniper,,,,,,,,,,,
3956,,,,,,,,,,,,,,,Marie-Josée Croze,,imagination|one word title|part animation|surrealism|virtual reality,,,,,,,,,,,
3957,,,,,,,,,,,,,,,Eugenia Khirivskaya,,rafting|russia|school|student|teacher,,,,,,,,,,,
3958,,,,,,,,,,,,,,,Howard Caine,,continental congress|debate|declaration of independence|massachusetts|pennsylvania,,,,,,,,,,,
3959,,,,,,,,,,,,,,,Fadia Nadda,,,,,,,,,,,,,
3960,,,,,,,,,,,,,,,James Hall,,bomb|bombing mission|munitions|oxford|royal flying corps,,,,,,,,,,,
3961,,,,,,,,,,,,,,,Peter Jacobson,,directed by star|written and directed by cast member,,,,,,,,,,,
3962,,,,,,,,,,,,,,,Kira McLean,,documentary crew|mass suicide|survivor|tied feet|tied up while barefoot,,,,,,,,,,,
3963,,,,,,,,,,,,,,,Victoria Thaine,,escape|high school|high school prom|prom|prom king,,,,,,,,,,,
3964,,,,,,,,,,,,,,,Black Thomas,,motel|psychopath|psychopathic killer|road trip|vomiting,,,,,,,,,,,
3965,,,,,,,,,,,,,,,Brooke D'Orsay,,,,,,,,,,,,,
3966,,,,,,,,,,,,,,,Diana Vickers,,boyfriend girlfriend relationship|friend|praying|surfing|wave,,,,,,,,,,,
3967,,,,,,,,,,,,,,,Moises Arias,,chariot race|epic|false accusation|jerusalem|slave,,,,,,,,,,,
3968,,,,,,,,,,,,,,,Paul Scofield,,catholic|chancellor|divorce|king henry viii|thomas more,,,,,,,,,,,
3969,,,,,,,,,,,,,,,William Holden,,media|monologue|television|television network|television news,,,,,,,,,,,
3970,,,,,,,,,,,,,,,Thomas Mitchell,,battle of the sexes|gallantry|honesty|indifference|scandal,,,,,,,,,,,
3971,,,,,,,,,,,,,,,Marama Corlett,,dance|dancer|dancing|desert|iran,,,,,,,,,,,
3972,,,,,,,,,,,,,,,Warren Oates,,apache|apache indian|confederate|mexico|scout,,,,,,,,,,,
3973,,,,,,,,,,,,,,,Nicholas Gonzalez,,latina|south central los angeles,,,,,,,,,,,
3974,,,,,,,,,,,,,,,Betty Hutton,,girl|gun|love|sharpshooter|the end,,,,,,,,,,,
3975,,,,,,,,,,,,,,,Alex Macqueen,,accidental shooting|bird|crow|exploding animal|muslim,,,,,,,,,,,
3976,,,,,,,,,,,,,,,Fernanda Torres,,1910s|desert|dunes|goat|slave,,,,,,,,,,,
3977,,,,,,,,,,,,,,,Charlotte Sullivan,,gun running|organized crime|pimp|superhero|vigilante,,,,,,,,,,,
3978,,,,,,,,,,,,,,,Ellen Ross,,hoop|horseback riding|love|pirate|singer,,,,,,,,,,,
3979,,,,,,,,,,,,,,,Stephen Henderson,,bar|bartender|death|heart attack|mentor protege relationship,,,,,,,,,,,
3980,,,,,,,,,,,,,,,James Corden,,gay|headmaster|oxford|school|teacher,,,,,,,,,,,
3981,,,,,,,,,,,,,,,Aidan Quinn,,agriculture|airport|amnesia|nurse|scientist,,,,,,,,,,,
3982,,,,,,,,,,,,,,,Mike Farrell,,colonel|doctor|korean war|major|nurse,,,,,,,,,,,
3983,,,,,,,,,,,,,,,John McGiver,,gay|homosexual|homosexuality|hustler|male rear nudity,,,,,,,,,,,
3984,,,,,,,,,,,,,,,Lesley Sharp,,dole|male stripper|northern england|steel worker|unemployment,,,,,,,,,,,
3985,,,,,,,,,,,,,,,Barbara Billingsley,,air traffic controller|airplane|airport|pilot|spoof,,,,,,,,,,,
3986,,,,,,,,,,,,,,,Jon Osbeck,,army|michael jai white|ohio|steve austin,,,,,,,,,,,
3987,,,,,,,,,,,,,,,Tony Cox,,bully|drug dealer|first part|neighbor|neighborhood,,,,,,,,,,,
3988,,,,,,,,,,,,,,,Khandi Alexander,,1990s|escape|graduation|hustler|street,,,,,,,,,,,
3989,,,,,,,,,,,,,,,Malik Yoba,,music business|new york city|record executive|record label|singer,,,,,,,,,,,
3990,,,,,,,,,,,,,,,Dorothy Lamour,,anthology|hit and run|hit by a car|living statue|melting woman,,,,,,,,,,,
3991,,,,,,,,,,,,,,,L.Q. Jones,,desert|partner|prostitute|stagecoach|water,,,,,,,,,,,
3992,,,,,,,,,,,,,,,Will Geer,,homoeroticism|kansas|murder|police|robbery,,,,,,,,,,,
3993,,,,,,,,,,,,,,,Beatrice Straight,,belgium|congo|convent|nun|nurse,,,,,,,,,,,
3994,,,,,,,,,,,,,,,Shelley Winters,,kidnapping|los angeles california|neo noir|private detective|ransom,,,,,,,,,,,
3995,,,,,,,,,,,,,,,Clive Swift,,penknife|police|rape|serial killer|united kingdom,,,,,,,,,,,
3996,,,,,,,,,,,,,,,Ralph Ineson,,black magic|goat|isolation|naked woman|witch,,,,,,,,,,,
3997,,,,,,,,,,,,,,,Anthony Johnson,,friend|obscenity|scam|vacant lot|van,,,,,,,,,,,
3998,,,,,,,,,,,,,,,Michael McGlone,,claim in title|infidelity|irish american|love|sex,,,,,,,,,,,
3999,,,,,,,,,,,,,,,Kevin J. O'Connor,,friendship|gardener|gay interest|homosexual|memory,,,,,,,,,,,
4000,,,,,,,,,,,,,,,Guillermo Francella,,investigation|justice|murder|suspect|tension,,,,,,,,,,,
4001,,,,,,,,,,,,,,,Joseph Pilato,,bunker|experiment|military|research|scientist,,,,,,,,,,,
4002,,,,,,,,,,,,,,,Derek Magyar,,blood splatter|heart ripped out|jock strap|train|vomiting,,,,,,,,,,,
4003,,,,,,,,,,,,,,,Kassie Wesley DePaiva,,cabin|cabin in the woods|demon|evil dead|woods,,,,,,,,,,,
4004,,,,,,,,,,,,,,,Robert Vaughn,,based on sketch comedy|corporation|cult film|evil corporation|sex,,,,,,,,,,,
4005,,,,,,,,,,,,,,,Cassandra Scerbo,,cult film|hurricane|school bus|shark|shark feature,,,,,,,,,,,
4006,,,,,,,,,,,,,,,Damián Delgado,,1520s|aztec|indian|spanish colonization|spanish conquest,,,,,,,,,,,
4007,,,,,,,,,,,,,,,Glenn Erland Tosterud,,bear|cameraman|hunter|secret government agency|troll,,,,,,,,,,,
4008,,,,,,,,,,,,,,,Kevin Sussman,,erectile dysfunction|mugger|mugging|subway robbery|therapy,,,,,,,,,,,
4009,,,,,,,,,,,,,,,Rosemarie DeWitt,,alien|escape|manager|neighborhood watch|ohio,,,,,,,,,,,
4010,,,,,,,,,,,,,,,Dallas Roberts,,love|michigan|musician|novelist|student,,,,,,,,,,,
4011,,,,,,,,,,,,,,,Scoot McNairy,,1959 cadillac|diamonds|female villain|force field|voyeurism,,,,,,,,,,,
4012,,,,,,,,,,,,,,,Lara Jean Chorostecki,,,,,,,,,,,,,
4013,,,,,,,,,,,,,,,Blaine Anderson,,blood splatter|ski mask|stolen money|vomiting|warehouse,,,,,,,,,,,
4014,,,,,,,,,,,,,,,Robert Townsend,,bar|box office flop|dance|one word title|voice over narration,,,,,,,,,,,
4015,,,,,,,,,,,,,,,Genevieve O'Reilly,,adultery|baptist church|dentist|double murder|tv mini series,,,,,,,,,,,
4016,,,,,,,,,,,,,,,Jere Burns,,death|forensic|murder|profiler|serial killer,,,,,,,,,,,
4017,,,,,,,,,,,,,,,Grey Griffin,,batman|joker|mutant|tattoo on breast|the joker,,,,,,,,,,,
4018,,,,,,,,,,,,,,,Peter Agnefjall,,,,,,,,,,,,,
4019,,,,,,,,,,,,,,,Ralitsa Paskaleva,,castle|dragon|kidnapping|satire|sword and sorcery,,,,,,,,,,,
4020,,,,,,,,,,,,,,,Lew Temple,,chess|drugs|love|meth|pawn,,,,,,,,,,,
4021,,,,,,,,,,,,,,,Rita Wilson,,desert|held at gunpoint|marine|revenge|sex on table,,,,,,,,,,,
4022,,,,,,,,,,,,,,,Glen Murphy,,gang leader|italian woman|period piece|purgatory|suicide,,,,,,,,,,,
4023,,,,,,,,,,,,,,,Dick Van Patten,,belldon's hysteria|high anxiety|hitchcockian|murder|parody,,,,,,,,,,,
4024,,,,,,,,,,,,,,,Romane Bohringer,,chick|emperor penguin|journey|ocean|penguin,,,,,,,,,,,
4025,,,,,,,,,,,,,,,Ashley Williams,,capital management|financial crisis|financial disaster|investment fraud|management,,,,,,,,,,,
4026,,,,,,,,,,,,,,,Edward Conna,,apartment|gay parent|job interview|male pubic hair|pubic hair,,,,,,,,,,,
4027,,,,,,,,,,,,,,,Jonah Bobo,,choking|friend|hospital|restaurant|scam,,,,,,,,,,,
4028,,,,,,,,,,,,,,,Chris Mulkey,,conservatory|drummer|emotional abuse|music school|obsession,,,,,,,,,,,
4029,,,,,,,,,,,,,,,Alexandre Rodrigues,,coming of age|male frontal nudity|male nudity|photographer|slum,,,,,,,,,,,
4030,,,,,,,,,,,,,,,Shaun Parkes,,friday|friend|hip hop|techno rave|weekend,,,,,,,,,,,
4031,,,,,,,,,,,,,,,Luis Antonio,,character name in title|depression|drugs|one word title,,,,,,,,,,,
4032,,,,,,,,,,,,,,,Piper Laurie,,dead girl|girl|granddaughter|morgue|storage unit,,,,,,,,,,,
4033,,,,,,,,,,,,,,,Hana Shuan,,deer|gun|gunshot|hunt|kindergarten teacher,,,,,,,,,,,
4034,,,,,,,,,,,,,,,Scott Schwartz,,bb gun|boy|bully|christmas|tongue stuck on a pole,,,,,,,,,,,
4035,,,,,,,,,,,,,,,Eduardo Verástegui,,inter cultural|latino|restaurant|soccer|train,,,,,,,,,,,
4036,,,,,,,,,,,,,,,Timothy Van Patten,,back to school|city|high school|sadism|teacher,,,,,,,,,,,
4037,,,,,,,,,,,,,,,Josh Hopkins,,bare breasts,,,,,,,,,,,
4038,,,,,,,,,,,,,,,Miriam Margolyes,,love crime|love triangle|lust|sister sister relationship|unrequited love,,,,,,,,,,,
4039,,,,,,,,,,,,,,,Angélica Sancio,,high school|inner city|school|student|teacher,,,,,,,,,,,
4040,,,,,,,,,,,,,,,Charles Grodin,,devil worship|incubus|paranoia|raped by a demon|satanism,,,,,,,,,,,
4041,,,,,,,,,,,,,,,Vera Miles,,friend|funeral|outlaw|pistol|stagecoach,,,,,,,,,,,
4042,,,,,,,,,,,,,,,Amy Irving,,apartment|asperger's syndrome|children|teacher|writer,,,,,,,,,,,
4043,,,,,,,,,,,,,,,Yenny Paola Vega,,colombia|colombian|drug mule|money|stomach,,,,,,,,,,,
4044,,,,,,,,,,,,,,,Mary Page Keller,,actress|cancer|death|french|gay relationship,,,,,,,,,,,
4045,,,,,,,,,,,,,,,Henry Rollins,,bar|bloody body of child|dead boy|monster|vomiting,,,,,,,,,,,
4046,,,,,,,,,,,,,,,Tim Matheson,,academic probation|camera shot of feet|fraternity|school expulsion|smashing a guitar,,,,,,,,,,,
4047,,,,,,,,,,,,,,,Lois Maxwell,,bikini|covered in melted gold|fort knox|gold|pilot,,,,,,,,,,,
4048,,,,,,,,,,,,,,,Caleb Landry Jones,,celebrity|injection|near future|scalpel|stabbed in the mouth,,,,,,,,,,,
4049,,,,,,,,,,,,,,,Thomas Mitchell,,angel|bank|guardian angel|second chance|small town life,,,,,,,,,,,
4050,,,,,,,,,,,,,,,Ewen Bremner,,drug culture|drugs|filthy toilet|heroin addict|heroin withdrawal,,,,,,,,,,,
4051,,,,,,,,,,,,,,,Steve Harvey,,backstage|comedian|concert film|emcee|stand up comedian,,,,,,,,,,,
4052,,,,,,,,,,,,,,,Micah Sloat,,california|carlsbad california|house|nanny|security camera,,,,,,,,,,,
4053,,,,,,,,,,,,,,,Fionnula Flanagan,,dead body|death|lottery|small town|village,,,,,,,,,,,
4054,,,,,,,,,,,,,,,Bill Clinton,,bank|columbine|columbine high school killings|firearm|school shooting,,,,,,,,,,,
4055,,,,,,,,,,,,,,,Ni Yan,,amnesia|cultural revolution|husband wife relationship|memory|political prisoner,,,,,,,,,,,
4056,,,,,,,,,,,,,,,Marshall Bell,,freddy krueger|gay|gay subtext|homoeroticism|jock strap,,,,,,,,,,,
4057,,,,,,,,,,,,,,,Denholm Elliott,,male nudity|male pubic hair|nude bathing|piano|pubic hair,,,,,,,,,,,
4058,,,,,,,,,,,,,,,Chris Mulkey,,class differences|killing spree|one night|suburb|violence,,,,,,,,,,,
4059,,,,,,,,,,,,,,,James Ransone,,book|found footage|research|snuff film|writer,,,,,,,,,,,
4060,,,,,,,,,,,,,,,Dayna Devon,,actor name in title|colon in title|four word title|live performance|satire,,,,,,,,,,,
4061,,,,,,,,,,,,,,,Jack Carson,,cancer|football|homosexuality|marriage|mississippi,,,,,,,,,,,
4062,,,,,,,,,,,,,,,Victor Buono,,ape|astronaut|mission|planet|rescue,,,,,,,,,,,
4063,,,,,,,,,,,,,,,Michael Jeter,,basketball|boy|dog|dog movie|golden retriever,,,,,,,,,,,
4064,,,,,,,,,,,,,,,Lisa Ortiz,,ash|father|mother|pokemon|professor,,,,,,,,,,,
4065,,,,,,,,,,,,,,,Vincent Guastaferro,,actual animal killed|death|jason voorhees|slasher flick|teen horror,,,,,,,,,,,
4066,,,,,,,,,,,,,,,Jack Hawkins,,allies|bridge|construction|jungle|sabotage,,,,,,,,,,,
4067,,,,,,,,,,,,,,,Tonya Lee Williams,,alien|halloween|killer robot|outer space|wrestler costume,,,,,,,,,,,
4068,,,,,,,,,,,,,,,William Devane,,actor|diamond|heir|kidnapping|ransom,,,,,,,,,,,
4069,,,,,,,,,,,,,,,David White,,apartment|elevator|elevator girl|love|mistress,,,,,,,,,,,
4070,,,,,,,,,,,,,,,Erin Gray,,brutality|evil|jason voorhees|paranormal phenomena|terror,,,,,,,,,,,
4071,,,,,,,,,,,,,,,David Opatoshu,,defection|east germany|germany|iron curtain|scientist,,,,,,,,,,,
4072,,,,,,,,,,,,,,,Lauryn Hill,,block party|marching band|neighborhood|new york city|tyrannosaurus rex,,,,,,,,,,,
4073,,,,,,,,,,,,,,,Ben Mendelsohn,,american west|bounty hunter|frontier|horse riding|outlaw,,,,,,,,,,,
4074,,,,,,,,,,,,,,,Bobby Brown,,actress shares first name with character|bar|car wash|city|d.j.,,,,,,,,,,,
4075,,,,,,,,,,,,,,,Mike Epps,,cocaine|package|slow motion scene|topless female nudity|wrong address,,,,,,,,,,,
4076,,,,,,,,,,,,,,,Edward Andrews,,1920s|evangelist|preacher|revival|traveling salesman,,,,,,,,,,,
4077,,,,,,,,,,,,,,,Spencer Tracy,,judge|law|nazi|nuremberg|war crime,,,,,,,,,,,
4078,,,,,,,,,,,,,,,Countess Vaughn,,apostrophe in title|bare breasts|female nudity|nude black woman|prom,,,,,,,,,,,
4079,,,,,,,,,,,,,,,Breckin Meyer,,celebrity|robot|satire|sketch comedy|stop motion animation,,,,,,,,,,,
4080,,,,,,,,,,,,,,,Harry Carey Jr.,,cattle|cattle drive|cowboy|kansas|texas,,,,,,,,,,,
4081,,,,,,,,,,,,,,,Joyful Drake,,female protagonist|size positive|thin|title directed by female|wet dream,,,,,,,,,,,
4082,,,,,,,,,,,,,,,Athina Rachel Tsangari,,friend|greece|greek|hotel room|twin,,,,,,,,,,,
4083,,,,,,,,,,,,,,,Kim Darby,,falling in love|glowing eyes|insult|teenager|three word title,,,,,,,,,,,
4084,,,,,,,,,,,,,,,James Le Gros,,cemetery|female nudity|mortuary|sphere|tall man,,,,,,,,,,,
4085,,,,,,,,,,,,,,,Clifton Powell,,abuse|bishop|death|flashback|poverty,,,,,,,,,,,
4086,,,,,,,,,,,,,,,George Lopez,,education|factory|high school|mexican american|religious icon,,,,,,,,,,,
4087,,,,,,,,,,,,,,,Luke Ford,,gallipoli|tv mini series|world war one,,,,,,,,,,,
4088,,,,,,,,,,,,,,,Seema Biswas,,ashram|india|love|tradition|widow,,,,,,,,,,,
4089,,,,,,,,,,,,,,,Om Puri,,england|marriage|muslim|pakistani|salford,,,,,,,,,,,
4090,,,,,,,,,,,,,,,David Heyman,,dating|diner|masturbation|urination|washington square manhattan new york city,,,,,,,,,,,
4091,,,,,,,,,,,,,,,Rekha,,courtesan|friend|kama sutra|seduction|wedding,,,,,,,,,,,
4092,,,,,,,,,,,,,,,Ann Morgan Guilbert,,apartment|first date|neighbor|new york|new york city,,,,,,,,,,,
4093,,,,,,,,,,,,,,,Julie Dawn Cole,,candy|chocolate|factory|miniaturization|sudden change in size,,,,,,,,,,,
4094,,,,,,,,,,,,,,,Paula Marshall,,druid|eclipse|rune|scalping|warlock,,,,,,,,,,,
4095,,,,,,,,,,,,,,,Dyan Cannon,,camera shot of feet|female stockinged feet|female stockinged soles|nude pantyhose|pantyhose,,,,,,,,,,,
4096,,,,,,,,,,,,,,,Richard Libertini,,farm|farm worker|grasshopper|harvest|wealth,,,,,,,,,,,
4097,,,,,,,,,,,,,,,Amy Irving,,attorney|happiness|house cleaner|physics|professor,,,,,,,,,,,
4098,,,,,,,,,,,,,,,Jeff Conaway,,best friend|bitch|friend|popular girl|prom,,,,,,,,,,,
4099,,,,,,,,,,,,,,,Courtney Love,,andy warhol|art|artist|friendship|street artist,,,,,,,,,,,
4100,,,,,,,,,,,,,,,Vanessa Ray,,best friend|black and white|father daughter relationship|female protagonist|mother daughter relationship,,,,,,,,,,,
4101,,,,,,,,,,,,,,,Rapulana Seiphemo,,baby|bathing a baby|criminal|slum|vomiting,,,,,,,,,,,
4102,,,,,,,,,,,,,,,Dylan Baker,,ensemble cast|episodic structure|satire|social satire|suburb,,,,,,,,,,,
4103,,,,,,,,,,,,,,,Robert Noble,,african american|family relationships|stand up comedian|stand up comedy,,,,,,,,,,,
4104,,,,,,,,,,,,,,,Michael Parks,,canada|human becoming an animal|mad scientist|part of trilogy|walrus,,,,,,,,,,,
4105,,,,,,,,,,,,,,,Hye-jeong Kang,,brother sister relationship|hypnosis|imprisonment|love|revenge,,,,,,,,,,,
4106,,,,,,,,,,,,,,,Christopher Schmidt,,cancer|faith|hope|letter|prayer,,,,,,,,,,,
4107,,,,,,,,,,,,,,,Molly Dunsworth,,hobo|pedophile|rampage|shotgun|vigilante,,,,,,,,,,,
4108,,,,,,,,,,,,,,,Erick Elias,,,,,,,,,,,,,
4109,,,,,,,,,,,,,,,Robert Peters,,freeway|nightmare|police|school|trailer park,,,,,,,,,,,
4110,,,,,,,,,,,,,,,Brianna Brown,,19th century|faith|mayor|ranch|sheriff,,,,,,,,,,,
4111,,,,,,,,,,,,,,,Jason Maza,,15 year old|dancing|essex|little sister|suburb,,,,,,,,,,,
4112,,,,,,,,,,,,,,,Zach Woods,,college|college campus|dance craze|depression|fraternity,,,,,,,,,,,
4113,,,,,,,,,,,,,,,Megalyn Echikunwoke,,author cameo|family relationships|island|monster|two part tv movie,,,,,,,,,,,
4114,,,,,,,,,,,,,,,Andrew Rannells,,bachelorette party|drug use|high school|overdose|wedding dress,,,,,,,,,,,
4115,,,,,,,,,,,,,,,Zach Grenier,,brains|exploding head|politician|swarm behavior|washington d.c.,,,,,,,,,,,
4116,,,,,,,,,,,,,,,Lindsey Haun,,based on a book|based on a novel|made for tv movie|music school|support,,,,,,,,,,,
4117,,,,,,,,,,,,,,,Bob Ross,,film in film|man with glasses|reference to steven spielberg|self referential|shopping mall,,,,,,,,,,,
4118,,,,,,,,,,,,,,,Griffin Cleveland,,dog|gambler|gambling|gangster|professor,,,,,,,,,,,
4119,,,,,,,,,,,,,,,Tim Healy,,concierge|front desk|hotel|maid|prostitute,,,,,,,,,,,
4120,,,,,,,,,,,,,,,Robert Stadlober,,friend|friendship|rowing|storm|summer camp,,,,,,,,,,,
4121,,,,,,,,,,,,,,,Brendan Fehr,,,,,,,,,,,,,
4122,,,,,,,,,,,,,,,Noah Segan,,blood splatter|chain|murder|mysterious killer|warning,,,,,,,,,,,
4123,,,,,,,,,,,,,,,Peter Onorati,,1955 chevrolet|nurse|peeping tom|reference to brooklyn dodgers|spying,,,,,,,,,,,
4124,,,,,,,,,,,,,,,Rosanna Arquette,,doggystyle sex|rough sex|sodomy|torture|violent sex,,,,,,,,,,,
4125,,,,,,,,,,,,,,,Jim Norton,,ghost|irish|kissing|novelist|widower,,,,,,,,,,,
4126,,,,,,,,,,,,,,,Aaron Yoo,,death|detective|house|missing|supernatural,,,,,,,,,,,
4127,,,,,,,,,,,,,,,David Douglas,,independent film|spoof,,,,,,,,,,,
4128,,,,,,,,,,,,,,,Anne Hathaway,,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,,,,,,,,,,,
4129,,,,,,,,,,,,,,,Talia Shire,,actor|italian american|mexico|orphan|usa,,,,,,,,,,,
4130,,,,,,,,,,,,,,,Chris Kattan,,boarding school|coming of age|female friendship|lesbian|new england,,,,,,,,,,,
4131,,,,,,,,,,,,,,,Emily Nelson,,dealer|drugs|killer|police,,,,,,,,,,,
4132,,,,,,,,,,,,,,,Jack McBrayer,,halloween party|new york city|racism|romcom|spoof,,,,,,,,,,,
4133,,,,,,,,,,,,,,,Olivia Alexander,,exorcism|female nudity|haunted house|lesbian kiss|masturbation,,,,,,,,,,,
4134,,,,,,,,,,,,,,,Jillian Murray,,bad cop|college|second part|sequel|wrestler,,,,,,,,,,,
4135,,,,,,,,,,,,,,,Carroll O'Connor,,criminal|gangster|money|revenge|violence,,,,,,,,,,,
4136,,,,,,,,,,,,,,,Salvatore Santone,,number in title|single father,,,,,,,,,,,
4137,,,,,,,,,,,,,,,Jason Priestley,,dubstep|tied feet,,,,,,,,,,,
4138,,,,,,,,,,,,,,,John Robinson,,eugene oregon|independent film|obsession,,,,,,,,,,,
4139,,,,,,,,,,,,,,,Brett Wagner,,police officer|police officer taken hostage,,,,,,,,,,,
4140,,,,,,,,,,,,,,,Fabio Testi,,19th century|based on novel|disfigurement|harpooner|independent film,,,,,,,,,,,
4141,,,,,,,,,,,,,,,Lily James,,dress|duke|fairy godmother|fairy tale|pumpkin,,,,,,,,,,,
4142,,,,,,,,,,,,,,,Frank Vincent,,detective|killer|police|shootout|thong,,,,,,,,,,,
4143,,,,,,,,,,,,,,,Shea Whigham,,doctor|letter|paternity|sex|testicles,,,,,,,,,,,
4144,,,,,,,,,,,,,,,Othon Bastos,,brazil|letter|rio de janeiro brazil|sertao|teacher,,,,,,,,,,,
4145,,,,,,,,,,,,,,,Thomas Mitchell,,1930s|apple|dude|luck|new york city,,,,,,,,,,,
4146,,,,,,,,,,,,,,,Scott Evans,,corrupt sheriff|drug cartel|flash drive|niece|sheriff,,,,,,,,,,,
4147,,,,,,,,,,,,,,,Brenda Vaccaro,,title spoken by character,,,,,,,,,,,
4148,,,,,,,,,,,,,,,Mia Barron,,child in peril|electroshock therapy|memory|memory loss|teenage girl,,,,,,,,,,,
